
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
0.37108 2.33267 0.00000 
0.36894 2.34870 0.00000 
0.36684 2.36473 0.00000 
0.36480 2.38076 0.00000 
0.36364 2.38997 0.00000 
0.36251 2.39679 0.00000 
0.35989 2.41283 0.00000 
0.35732 2.42886 0.00000 
0.35480 2.44489 0.00000 
0.35234 2.46092 0.00000 
0.34992 2.47695 0.00000 
0.34755 2.49299 0.00000 
0.34523 2.50902 0.00000 
0.34295 2.52505 0.00000 
0.34072 2.54108 0.00000 
0.33853 2.55711 0.00000 
0.33639 2.57315 0.00000 
0.33428 2.58918 0.00000 
0.33222 2.60521 0.00000 
0.33020 2.62124 0.00000 

4.00000 0.20095 0.00000 
3.91919 0.20493 0.00000 
3.83838 0.20926 0.00000 
3.75758 0.21398 0.00000 
3.71773 0.21643 0.00000 
3.67677 0.21875 0.00000 
3.59596 0.22360 0.00000 
3.51515 0.22891 0.00000 
3.46457 0.23246 0.00000 
3.43434 0.23445 0.00000 
3.35354 0.24003 0.00000 
3.27273 0.24619 0.00000 
3.24403 0.24850 0.00000 
3.19192 0.25245 0.00000 
3.11111 0.25909 0.00000 
3.05027 0.26453 0.00000 
3.03030 0.26624 0.00000 
2.94949 0.27351 0.00000 
2.87873 0.28056 0.00000 
2.86869 0.28153 0.00000 
2.78788 0.28966 0.00000 
2.72541 0.29659 0.00000 
2.70707 0.29858 0.00000 
2.62626 0.30786 0.00000 
2.58775 0.31263 0.00000 
2.54545 0.31781 0.00000 
2.46465 0.32860 0.00000 
2.46425 0.32866 0.00000 
2.38384 0.33979 0.00000 
2.35109 0.34469 0.00000 
2.30303 0.35193 0.00000 
2.24856 0.36072 0.00000 
2.22222 0.36504 0.00000 
2.15490 0.37675 0.00000 
2.14141 0.37916 0.00000 
2.06882 0.39279 0.00000 
2.06061 0.39438 0.00000 
1.98931 0.40882 0.00000 
1.97980 0.41082 0.00000 
1.91563 0.42485 0.00000 
